invoice_id,date,vendor,category,business_unit,amount,description,approved_by,payment_status
INV-84141,2024-07-02,Indeed,HR & Recruitment,Legal,24504.54,HR & Recruitment - Indeed,VP,Pending
INV-75058,2024-07-02,AT&T Business,Utilities,Marketing,21251.38,Utilities - AT&T Business,Director,Pending
INV-83647,2024-07-02,Grainger,Raw Materials,Engineering,61237.94,Raw Materials - Grainger,Director,Pending
INV-72240,2024-07-03,WeWork,Facilities & Real Estate,Finance,30770.29,Facilities & Real Estate - WeWork,Manager,Paid
INV-17592,2024-07-04,AWS,IT & Software,Engineering,131929.56,IT & Software - AWS,Director,Paid
INV-81781,2024-07-04,AT&T Business,Utilities,Sales,2804.03,Utilities - AT&T Business,Director,Paid
INV-47346,2024-07-05,Salesforce,IT & Software,Operations,101778.08,IT & Software - Salesforce,Auto-approved,Paid
INV-24869,2024-07-06,Deloitte Consulting,Professional Services,HR,102518.34,Professional Services - Deloitte Consulting,Manager,Paid
INV-60678,2024-07-07,McKinsey & Company,Professional Services,Legal,112053.09,Professional Services - McKinsey & Company,VP,Paid
INV-21300,2024-07-07,3M Company,Raw Materials,HR,35588.03,Raw Materials - 3M Company,Manager,Paid
INV-26059,2024-07-08,Deloitte Consulting,Professional Services,Legal,131170.13,Professional Services - Deloitte Consulting,VP,Pending
INV-91999,2024-07-09,American Express Travel,Travel & Expenses,Engineering,10001.18,Travel & Expenses - American Express Travel,VP,Paid
INV-28909,2024-07-10,Microsoft Corp,IT & Software,Operations,119439.69,IT & Software - Microsoft Corp,Director,Pending
INV-73334,2024-07-10,Con Edison,Utilities,Operations,2283.28,Utilities - Con Edison,Auto-approved,Paid
INV-39603,2024-07-10,Workday HCM,HR & Recruitment,Engineering,48005.59,HR & Recruitment - Workday HCM,VP,Paid
INV-91885,2024-07-11,Deloitte Consulting,Professional Services,HR,42791.93,Professional Services - Deloitte Consulting,Director,Pending
INV-80687,2024-07-12,Indeed,HR & Recruitment,Operations,19406.63,HR & Recruitment - Indeed,Director,Paid
INV-27125,2024-07-13,Google Ads,Marketing & Advertising,HR,62443.56,Marketing & Advertising - Google Ads,Auto-approved,Pending
INV-34530,2024-07-14,Amazon Business,Office Supplies,Engineering,3431.9,Office Supplies - Amazon Business,VP,Paid
INV-63424,2024-07-15,PwC Advisory,Professional Services,Marketing,175017.7,Professional Services - PwC Advisory,VP,Pending
INV-27892,2024-07-15,3M Company,Raw Materials,Marketing,15105.17,Raw Materials - 3M Company,Manager,Paid
INV-71993,2024-07-15,LinkedIn Marketing,Marketing & Advertising,HR,19068.21,Marketing & Advertising - LinkedIn Marketing,Auto-approved,Pending
INV-49576,2024-07-15,Microsoft Corporation,IT & Software,Finance,36092.67,IT & Software - Microsoft Corporation,Manager,Paid
INV-94575,2024-07-15,Deloitte Consulting,Professional Services,HR,108644.5,Professional Services - Deloitte Consulting,Director,Paid
INV-99744,2024-07-15,Deloitte Consulting,Professional Services,Marketing,241138.13,Professional Services - Deloitte Consulting,Auto-approved,Pending
INV-68493,2024-07-17,Amazon Business,Office Supplies,HR,4572.04,Office Supplies - Amazon Business,Director,Paid
INV-78116,2024-07-17,Zoom Video,IT & Software,Engineering,83898.27,IT & Software - Zoom Video,Auto-approved,Paid
INV-60418,2024-07-17,Deloitte Consulting,Professional Services,Engineering,166092.84,Professional Services - Deloitte Consulting,Auto-approved,Paid
INV-50405,2024-07-18,PwC Advisory,Professional Services,Sales,83000,Professional Services - PwC Advisory,Auto-approved,Paid
INV-81516,2024-07-20,Indeed,HR & Recruitment,Finance,18885.76,HR & Recruitment - Indeed,Director,Paid
INV-57294,2024-07-20,Microsoft Corp,IT & Software,Engineering,86193.7,IT & Software - Microsoft Corp,Manager,Pending
INV-54293,2024-07-20,Meta Ads,Marketing & Advertising,Engineering,17639.37,Marketing & Advertising - Meta Ads,Manager,Pending
INV-37686,2024-07-21,Salesforce,IT & Software,Marketing,147682.4,IT & Software - Salesforce,Director,Paid
INV-48070,2024-07-21,Grainger,Raw Materials,Operations,61559.93,Raw Materials - Grainger,Manager,Paid
INV-47941,2024-07-22,Google Ads,Marketing & Advertising,Engineering,63142.87,Marketing & Advertising - Google Ads,Manager,Paid
INV-46368,2024-07-24,UPS Supply Chain,Logistics & Freight,Sales,1832.07,Logistics & Freight - UPS Supply Chain,Manager,Paid
INV-97153,2024-07-25,FedEx,Logistics & Freight,Finance,14004.73,Logistics & Freight - FedEx,Auto-approved,Paid
INV-11238,2024-07-26,Salesforce,IT & Software,Engineering,57510.34,IT & Software - Salesforce,Director,Paid
INV-22415,2024-07-26,Google Ads,Marketing & Advertising,Engineering,68440.8,Marketing & Advertising - Google Ads,Auto-approved,Paid
INV-94072,2024-07-26,DHL Express,Logistics & Freight,Sales,9999,Logistics & Freight - DHL Express,Manager,Paid
INV-73191,2024-07-26,Mailchimp,Marketing & Advertising,HR,28555.39,Marketing & Advertising - Mailchimp,Manager,Paid
INV-94659,2024-07-27,MSFT,IT & Software,Marketing,73798.1,IT & Software - MSFT,Auto-approved,Pending
INV-40340,2024-07-28,KPMG LLP,Professional Services,Engineering,115373.41,Professional Services - KPMG LLP,VP,Paid
INV-74569,2024-07-28,Uber for Business,Travel & Expenses,Sales,9999,Travel & Expenses - Uber for Business,Manager,Paid
INV-92691,2024-07-28,Marriott Hotels,Travel & Expenses,Operations,11639.53,Travel & Expenses - Marriott Hotels,VP,Paid
INV-22463,2024-07-30,DHL Express,Logistics & Freight,Marketing,6910.85,Logistics & Freight - DHL Express,VP,Pending
INV-28018,2024-07-30,Adobe Systems,IT & Software,Engineering,50213.75,IT & Software - Adobe Systems,Manager,Paid
INV-41831,2024-07-30,Adobe Systems,IT & Software,HR,145200.14,IT & Software - Adobe Systems,VP,Paid
INV-28569,2024-07-31,Microsoft Corp,IT & Software,Finance,138161.58,IT & Software - Microsoft Corp,VP,Paid
INV-59638,2024-08-02,Indeed,HR & Recruitment,Operations,48485.99,HR & Recruitment - Indeed,VP,Pending
INV-86372,2024-08-02,AT&T Business,Utilities,Legal,3819.31,Utilities - AT&T Business,Manager,Paid
INV-80702,2024-08-03,Indeed,HR & Recruitment,Finance,13000,HR & Recruitment - Indeed,Manager,Paid
INV-29048,2024-08-04,Grainger,Raw Materials,Finance,61000,Raw Materials - Grainger,Manager,Paid
INV-56210,2024-08-06,DHL Express,Logistics & Freight,HR,3499.57,Logistics & Freight - DHL Express,Auto-approved,Paid
INV-15229,2024-08-08,3M Company,Raw Materials,Marketing,10430.97,Raw Materials - 3M Company,VP,Paid
INV-22499,2024-08-10,Amazon Business,Office Supplies,Legal,3242.29,Office Supplies - Amazon Business,Manager,Paid
INV-62994,2024-08-11,Mailchimp,Marketing & Advertising,Finance,39108.54,Marketing & Advertising - Mailchimp,Director,Pending
INV-48680,2024-08-13,Salesforce,IT & Software,Finance,5971.32,IT & Software - Salesforce,VP,Pending
INV-98857,2024-08-13,McKinsey & Company,Professional Services,Operations,16263.22,Professional Services - McKinsey & Company,Director,Paid
INV-80592,2024-08-14,MSFT,IT & Software,Finance,98739.84,IT & Software - MSFT,VP,Paid
INV-99873,2024-08-15,HubSpot,Marketing & Advertising,Operations,76069.14,Marketing & Advertising - HubSpot,VP,Paid
INV-30070,2024-08-15,McKinsey & Company,Professional Services,Operations,98162.17,Professional Services - McKinsey & Company,Director,Paid
INV-55843,2024-08-16,Amazon Business,Office Supplies,HR,929.04,Office Supplies - Amazon Business,VP,Paid
INV-35260,2024-08-17,McKinsey & Company,Professional Services,Legal,47355.35,Professional Services - McKinsey & Company,Director,Paid
INV-66207,2024-08-18,AT&T Business,Utilities,Operations,27300.88,Utilities - AT&T Business,VP,Paid
INV-66603,2024-08-18,Delta Airlines,Travel & Expenses,Legal,7409.99,Travel & Expenses - Delta Airlines,Director,Pending
INV-37215,2024-08-18,Microsoft Corp,IT & Software,Marketing,70442.21,IT & Software - Microsoft Corp,Auto-approved,Paid
INV-82845,2024-08-20,Indeed,HR & Recruitment,Finance,14977.21,HR & Recruitment - Indeed,Auto-approved,Paid
INV-24996,2024-08-20,AT&T Business,Utilities,Finance,15413.76,Utilities - AT&T Business,Director,Pending
INV-78337,2024-08-20,Indeed,HR & Recruitment,Operations,24999,HR & Recruitment - Indeed,VP,Paid
INV-65278,2024-08-21,Workday HCM,HR & Recruitment,Operations,14319.82,HR & Recruitment - Workday HCM,Director,Paid
INV-15492,2024-08-22,Deloitte Consulting,Professional Services,Engineering,14061.03,Professional Services - Deloitte Consulting,VP,Paid
INV-93769,2024-08-22,JLL Property,Facilities & Real Estate,Marketing,13167.59,Facilities & Real Estate - JLL Property,VP,Pending
INV-76952,2024-08-22,KPMG LLP,Professional Services,Legal,143584.36,Professional Services - KPMG LLP,Manager,Paid
INV-69836,2024-08-23,Microsoft Corp,IT & Software,Sales,3425.92,IT & Software - Microsoft Corp,Manager,Pending
INV-69598,2024-08-24,Deloitte Consulting,Professional Services,Legal,49523.61,Professional Services - Deloitte Consulting,VP,Paid
INV-74789,2024-08-25,LinkedIn Marketing,Marketing & Advertising,Legal,45803.05,Marketing & Advertising - LinkedIn Marketing,VP,Paid
INV-55215,2024-08-25,LinkedIn Talent,HR & Recruitment,Operations,38844.77,HR & Recruitment - LinkedIn Talent,Manager,Pending
INV-14005,2024-08-25,LinkedIn Talent,HR & Recruitment,Legal,25751.19,HR & Recruitment - LinkedIn Talent,Director,Paid
INV-48085,2024-08-25,Marriott Hotels,Travel & Expenses,Finance,846.19,Travel & Expenses - Marriott Hotels,VP,Paid
INV-82260,2024-08-26,Zoom Video,IT & Software,Operations,102336.24,IT & Software - Zoom Video,Director,Paid
INV-52287,2024-08-26,Microsoft Corporation,IT & Software,Finance,106743.71,IT & Software - Microsoft Corporation,Manager,Paid
INV-12128,2024-08-28,Indeed,HR & Recruitment,Legal,3133.19,HR & Recruitment - Indeed,VP,Paid
INV-68799,2024-08-29,Marriott Hotels,Travel & Expenses,Legal,10471.47,Travel & Expenses - Marriott Hotels,Manager,Paid
INV-66498,2024-08-30,LinkedIn Marketing,Marketing & Advertising,Legal,64696.01,Marketing & Advertising - LinkedIn Marketing,VP,Pending
INV-46347,2024-08-31,KPMG LLP,Professional Services,Sales,115267.09,Professional Services - KPMG LLP,Auto-approved,Paid
INV-52096,2024-08-31,FedEx,Logistics & Freight,Sales,9653.48,Logistics & Freight - FedEx,VP,Paid
INV-61747,2024-08-31,Grainger,Raw Materials,Sales,43380.86,Raw Materials - Grainger,Manager,Paid
INV-85631,2024-09-01,Adobe Systems,IT & Software,Finance,17998.98,IT & Software - Adobe Systems,Manager,Paid
INV-68138,2024-09-02,AWS,IT & Software,Engineering,127247.48,IT & Software - AWS,Manager,Paid
INV-19666,2024-09-02,Workday HCM,HR & Recruitment,Sales,26759.09,HR & Recruitment - Workday HCM,Director,Paid
INV-39567,2024-09-02,Microsoft Corp,IT & Software,Legal,118520.77,IT & Software - Microsoft Corp,Director,Pending
INV-25095,2024-09-03,American Express Travel,Travel & Expenses,Legal,14514.02,Travel & Expenses - American Express Travel,Auto-approved,Paid
INV-69682,2024-09-04,DHL Express,Logistics & Freight,HR,7033.45,Logistics & Freight - DHL Express,VP,Paid
INV-48780,2024-09-04,Meta Ads,Marketing & Advertising,Operations,8978.93,Marketing & Advertising - Meta Ads,VP,Paid
INV-39473,2024-09-04,American Express Travel,Travel & Expenses,HR,2964.74,Travel & Expenses - American Express Travel,VP,Paid
INV-26483,2024-09-05,MSFT,IT & Software,Sales,122587.46,IT & Software - MSFT,Director,Pending
INV-31579,2024-09-05,KPMG LLP,Professional Services,Operations,122932.81,Professional Services - KPMG LLP,Auto-approved,Paid
INV-77537,2024-09-05,FedEx,Logistics & Freight,Sales,15237.97,Logistics & Freight - FedEx,Director,Paid
INV-97632,2024-09-06,Salesforce,IT & Software,Marketing,35530.74,IT & Software - Salesforce,Director,Paid
INV-62873,2024-09-07,Deloitte Consulting,Professional Services,Finance,93016.47,Professional Services - Deloitte Consulting,Manager,Paid
INV-67733,2024-09-08,Deloitte Consulting,Professional Services,Sales,24999,Professional Services - Deloitte Consulting,VP,Paid
INV-76444,2024-09-08,KPMG LLP,Professional Services,Engineering,83555.28,Professional Services - KPMG LLP,Director,Pending
INV-52247,2024-09-09,Con Edison,Utilities,HR,13413.89,Utilities - Con Edison,VP,Paid
INV-24019,2024-09-09,Salesforce,IT & Software,Marketing,21926.93,IT & Software - Salesforce,VP,Paid
INV-47453,2024-09-10,Adobe Systems,IT & Software,Finance,90030.3,IT & Software - Adobe Systems,Manager,Paid
INV-20828,2024-09-11,Amazon Business,Office Supplies,Sales,1868.37,Office Supplies - Amazon Business,Auto-approved,Paid
INV-83024,2024-09-11,JLL Property,Facilities & Real Estate,Engineering,49999,Facilities & Real Estate - JLL Property,Manager,Paid
INV-48177,2024-09-12,McKinsey & Company,Professional Services,Legal,4999,Professional Services - McKinsey & Company,Auto-approved,Paid
INV-77603,2024-09-14,LinkedIn Talent,HR & Recruitment,Engineering,33992.96,HR & Recruitment - LinkedIn Talent,Manager,Pending
INV-21338,2024-09-14,Zoom Video,IT & Software,Finance,16814.2,IT & Software - Zoom Video,VP,Pending
INV-55796,2024-09-15,AT&T Business,Utilities,Engineering,5201.43,Utilities - AT&T Business,Director,Paid
INV-86011,2024-09-16,FedEx,Logistics & Freight,Finance,24999,Logistics & Freight - FedEx,Auto-approved,Paid
INV-14818,2024-09-16,Workday HCM,HR & Recruitment,HR,46251.29,HR & Recruitment - Workday HCM,VP,Paid
INV-84537,2024-09-16,Uber for Business,Travel & Expenses,Sales,6110.44,Travel & Expenses - Uber for Business,Manager,Paid
INV-13617,2024-09-17,CBRE,Facilities & Real Estate,Sales,41168.48,Facilities & Real Estate - CBRE,Manager,Paid
INV-12180,2024-09-17,Con Edison,Utilities,Legal,16204.02,Utilities - Con Edison,VP,Paid
INV-94454,2024-09-18,MSFT,IT & Software,Legal,12182.18,IT & Software - MSFT,Director,Pending
INV-27048,2024-09-20,Google Ads,Marketing & Advertising,Marketing,24999,Marketing & Advertising - Google Ads,Director,Paid
INV-88647,2024-09-21,Meta Ads,Marketing & Advertising,Marketing,61355.21,Marketing & Advertising - Meta Ads,Auto-approved,Paid
INV-86720,2024-09-22,Google Ads,Marketing & Advertising,Operations,52295.0,Marketing & Advertising - Google Ads,Auto-approved,Pending
INV-16764,2024-09-22,Adobe Systems,IT & Software,Marketing,54905.12,IT & Software - Adobe Systems,Director,Paid
INV-94694,2024-09-22,Uber for Business,Travel & Expenses,Marketing,9143.21,Travel & Expenses - Uber for Business,Manager,Paid
INV-74071,2024-09-23,KPMG LLP,Professional Services,Finance,113250.94,Professional Services - KPMG LLP,Manager,Pending
INV-34356,2024-09-28,Office Depot,Office Supplies,HR,829.29,Office Supplies - Office Depot,Manager,Paid
INV-68008,2024-09-28,Staples Business,Office Supplies,Sales,4940.07,Office Supplies - Staples Business,Auto-approved,Pending
INV-13552,2024-09-30,Deloitte Consulting,Professional Services,HR,11606.78,Professional Services - Deloitte Consulting,Manager,Pending
INV-86106,2024-09-30,Uber for Business,Travel & Expenses,HR,1492.08,Travel & Expenses - Uber for Business,Director,Paid
INV-52233,2024-09-30,Microsoft Corporation,IT & Software,Engineering,31000,IT & Software - Microsoft Corporation,Director,Paid
INV-24170,2024-09-30,American Express Travel,Travel & Expenses,Legal,9384.71,Travel & Expenses - American Express Travel,Manager,Paid
INV-48469,2024-10-01,McKinsey & Company,Professional Services,Sales,188965.06,Professional Services - McKinsey & Company,Auto-approved,Paid
INV-99173,2024-10-02,3M Company,Raw Materials,Operations,60347.63,Raw Materials - 3M Company,Manager,Pending
INV-10455,2024-10-02,McKinsey & Company,Professional Services,Marketing,101299.36,Professional Services - McKinsey & Company,Manager,Paid
INV-47667,2024-10-04,Amazon Business,Office Supplies,Legal,227.7,Office Supplies - Amazon Business,Director,Paid
INV-17993,2024-10-04,CBRE,Facilities & Real Estate,Legal,42570.69,Facilities & Real Estate - CBRE,Auto-approved,Pending
INV-95717,2024-10-05,DHL Express,Logistics & Freight,Legal,14130.09,Logistics & Freight - DHL Express,Manager,Paid
INV-16265,2024-10-05,Con Edison,Utilities,Operations,4999,Utilities - Con Edison,VP,Paid
INV-70375,2024-10-05,Staples Business,Office Supplies,Sales,2149.43,Office Supplies - Staples Business,VP,Paid
INV-15453,2024-10-05,Delta Airlines,Travel & Expenses,Legal,12366.91,Travel & Expenses - Delta Airlines,Auto-approved,Paid
INV-86019,2024-10-07,Uber for Business,Travel & Expenses,Operations,12522.51,Travel & Expenses - Uber for Business,VP,Pending
INV-11934,2024-10-08,DHL Express,Logistics & Freight,Legal,2138.59,Logistics & Freight - DHL Express,Manager,Paid
INV-47576,2024-10-09,Microsoft Corporation,IT & Software,HR,24999,IT & Software - Microsoft Corporation,Manager,Pending
INV-40389,2024-10-09,AT&T Business,Utilities,Marketing,5224.0,Utilities - AT&T Business,Auto-approved,Paid
INV-95709,2024-10-09,HubSpot,Marketing & Advertising,Engineering,21219.0,Marketing & Advertising - HubSpot,Director,Paid
INV-84928,2024-10-10,Staples Business,Office Supplies,HR,4773.45,Office Supplies - Staples Business,Director,Paid
INV-29976,2024-10-10,AWS,IT & Software,Finance,140278.98,IT & Software - AWS,Director,Paid
INV-46899,2024-10-10,FedEx,Logistics & Freight,Sales,14496.35,Logistics & Freight - FedEx,VP,Paid
INV-96057,2024-10-12,WeWork,Facilities & Real Estate,Engineering,68481.18,Facilities & Real Estate - WeWork,Director,Paid
INV-30568,2024-10-12,Indeed,HR & Recruitment,Marketing,45000,HR & Recruitment - Indeed,Auto-approved,Pending
INV-97833,2024-10-13,MSFT,IT & Software,Finance,57125.22,IT & Software - MSFT,Manager,Pending
INV-53992,2024-10-13,American Express Travel,Travel & Expenses,Sales,11467.48,Travel & Expenses - American Express Travel,Manager,Paid
INV-57617,2024-10-13,Staples Business,Office Supplies,Finance,3848.71,Office Supplies - Staples Business,Auto-approved,Paid
INV-39260,2024-10-14,Google Ads,Marketing & Advertising,Sales,55638.05,Marketing & Advertising - Google Ads,Director,Pending
INV-57624,2024-10-14,Uber for Business,Travel & Expenses,HR,3182.08,Travel & Expenses - Uber for Business,Manager,Paid
INV-83147,2024-10-15,PwC Advisory,Professional Services,Legal,237535.78,Professional Services - PwC Advisory,Auto-approved,Paid
INV-83989,2024-10-15,Amazon Business,Office Supplies,Operations,3811.39,Office Supplies - Amazon Business,VP,Paid
INV-94076,2024-10-15,WeWork,Facilities & Real Estate,Legal,6037.04,Facilities & Real Estate - WeWork,VP,Paid
INV-58270,2024-10-15,Meta Ads,Marketing & Advertising,Finance,62868.32,Marketing & Advertising - Meta Ads,Auto-approved,Paid
INV-85223,2024-10-17,Amazon Business,Office Supplies,Legal,876.06,Office Supplies - Amazon Business,Manager,Paid
INV-10633,2024-10-17,PwC Advisory,Professional Services,HR,94300.89,Professional Services - PwC Advisory,VP,Paid
INV-49857,2024-10-18,Uber for Business,Travel & Expenses,HR,13825.77,Travel & Expenses - Uber for Business,Auto-approved,Paid
INV-99764,2024-10-18,Mailchimp,Marketing & Advertising,Operations,66752.34,Marketing & Advertising - Mailchimp,VP,Paid
INV-71736,2024-10-18,Deloitte Consulting,Professional Services,Operations,108111.57,Professional Services - Deloitte Consulting,Manager,Paid
INV-33639,2024-10-18,WeWork,Facilities & Real Estate,Operations,89498.82,Facilities & Real Estate - WeWork,Manager,Pending
INV-57265,2024-10-19,CBRE,Facilities & Real Estate,Marketing,42823.62,Facilities & Real Estate - CBRE,Manager,Paid
INV-51116,2024-10-20,LinkedIn Marketing,Marketing & Advertising,Engineering,76000,Marketing & Advertising - LinkedIn Marketing,Auto-approved,Paid
INV-14888,2024-10-20,MSFT,IT & Software,Sales,35600.81,IT & Software - MSFT,Director,Pending
INV-78864,2024-10-20,Amazon Business,Office Supplies,Legal,2773.29,Office Supplies - Amazon Business,Director,Paid
INV-49936,2024-10-20,Salesforce,IT & Software,Engineering,89901.58,IT & Software - Salesforce,Director,Paid
INV-77717,2024-10-20,Con Edison,Utilities,Engineering,4832.52,Utilities - Con Edison,Auto-approved,Paid
INV-35995,2024-10-21,AWS,IT & Software,Finance,101924.75,IT & Software - AWS,Manager,Paid
INV-24184,2024-10-22,CBRE,Facilities & Real Estate,Engineering,51726.43,Facilities & Real Estate - CBRE,VP,Paid
INV-32349,2024-10-23,American Express Travel,Travel & Expenses,Sales,8706.75,Travel & Expenses - American Express Travel,Auto-approved,Paid
INV-70089,2024-10-24,Amazon Business,Office Supplies,Finance,62.24,Office Supplies - Amazon Business,VP,Paid
INV-92478,2024-10-25,McKinsey & Company,Professional Services,Operations,80381.07,Professional Services - McKinsey & Company,Manager,Pending
INV-44671,2024-10-25,PwC Advisory,Professional Services,Legal,206011.03,Professional Services - PwC Advisory,Director,Paid
INV-96096,2024-10-26,AT&T Business,Utilities,Finance,29988.37,Utilities - AT&T Business,Director,Paid
INV-18450,2024-10-27,MSFT,IT & Software,HR,40000,IT & Software - MSFT,Director,Pending
INV-92719,2024-10-28,WeWork,Facilities & Real Estate,Engineering,56000,Facilities & Real Estate - WeWork,Manager,Paid
INV-23176,2024-10-28,Office Depot,Office Supplies,Finance,4884.2,Office Supplies - Office Depot,Director,Paid
INV-76900,2024-10-28,Workday HCM,HR & Recruitment,Marketing,36928.11,HR & Recruitment - Workday HCM,Manager,Pending
INV-12170,2024-10-29,Staples Business,Office Supplies,HR,390.77,Office Supplies - Staples Business,Director,Pending
INV-21359,2024-10-30,Staples Business,Office Supplies,Operations,1378.56,Office Supplies - Staples Business,VP,Pending
INV-15683,2024-10-30,LinkedIn Talent,HR & Recruitment,HR,6343.65,HR & Recruitment - LinkedIn Talent,VP,Pending
INV-87537,2024-10-30,Google Ads,Marketing & Advertising,Marketing,25781.35,Marketing & Advertising - Google Ads,Manager,Paid
INV-16380,2024-10-31,Zoom Video,IT & Software,Engineering,6002.87,IT & Software - Zoom Video,Director,Paid
INV-28777,2024-11-02,JLL Property,Facilities & Real Estate,HR,77708.74,Facilities & Real Estate - JLL Property,Director,Pending
INV-94058,2024-11-04,Uber for Business,Travel & Expenses,HR,1698.78,Travel & Expenses - Uber for Business,Auto-approved,Paid
INV-68827,2024-11-04,Grainger,Raw Materials,Sales,15538.71,Raw Materials - Grainger,Director,Paid
INV-87015,2024-11-05,Indeed,HR & Recruitment,Sales,30543.18,HR & Recruitment - Indeed,Director,Pending
INV-52154,2024-11-05,LinkedIn Marketing,Marketing & Advertising,Sales,56449.6,Marketing & Advertising - LinkedIn Marketing,VP,Pending
INV-31465,2024-11-06,KPMG LLP,Professional Services,HR,241115.01,Professional Services - KPMG LLP,VP,Paid
INV-40932,2024-11-07,PwC Advisory,Professional Services,Legal,171131.77,Professional Services - PwC Advisory,VP,Paid
INV-69634,2024-11-10,Marriott Hotels,Travel & Expenses,Finance,3390.65,Travel & Expenses - Marriott Hotels,VP,Pending
INV-79604,2024-11-11,Deloitte Consulting,Professional Services,Engineering,186518.29,Professional Services - Deloitte Consulting,Director,Paid
INV-65576,2024-11-12,PwC Advisory,Professional Services,Marketing,17191.81,Professional Services - PwC Advisory,Auto-approved,Pending
INV-45123,2024-11-12,MSFT,IT & Software,Legal,45011.54,IT & Software - MSFT,Director,Pending
INV-36037,2024-11-12,Con Edison,Utilities,Sales,3973.17,Utilities - Con Edison,Director,Paid
INV-54921,2024-11-14,CBRE,Facilities & Real Estate,Operations,28294.32,Facilities & Real Estate - CBRE,Director,Paid
INV-98389,2024-11-15,American Express Travel,Travel & Expenses,Finance,10421.3,Travel & Expenses - American Express Travel,Auto-approved,Paid
INV-23621,2024-11-18,HubSpot,Marketing & Advertising,Sales,61999.79,Marketing & Advertising - HubSpot,Director,Pending
INV-40784,2024-11-20,Con Edison,Utilities,Sales,18768.19,Utilities - Con Edison,VP,Paid
INV-49251,2024-11-20,UPS Supply Chain,Logistics & Freight,Engineering,14137.04,Logistics & Freight - UPS Supply Chain,Manager,Paid
INV-46467,2024-11-20,DHL Express,Logistics & Freight,Engineering,15933.05,Logistics & Freight - DHL Express,VP,Pending
INV-97841,2024-11-21,Delta Airlines,Travel & Expenses,Operations,12528.25,Travel & Expenses - Delta Airlines,VP,Paid
INV-33086,2024-11-21,UPS Supply Chain,Logistics & Freight,Finance,17853.19,Logistics & Freight - UPS Supply Chain,VP,Pending
INV-94136,2024-11-23,FedEx,Logistics & Freight,HR,799.66,Logistics & Freight - FedEx,VP,Pending
INV-77621,2024-11-24,American Express Travel,Travel & Expenses,Engineering,7260.8,Travel & Expenses - American Express Travel,Manager,Paid
INV-56160,2024-11-24,Amazon Business,Office Supplies,Sales,3710.99,Office Supplies - Amazon Business,Director,Paid
INV-53458,2024-11-24,Mailchimp,Marketing & Advertising,Sales,35171.86,Marketing & Advertising - Mailchimp,Auto-approved,Pending
INV-83579,2024-11-25,Amazon Business,Office Supplies,Operations,2321.32,Office Supplies - Amazon Business,VP,Pending
INV-64568,2024-11-25,Adobe Systems,IT & Software,Finance,101030.04,IT & Software - Adobe Systems,Auto-approved,Paid
INV-89638,2024-11-26,LinkedIn Marketing,Marketing & Advertising,Finance,7197.77,Marketing & Advertising - LinkedIn Marketing,VP,Paid
INV-90856,2024-11-26,HubSpot,Marketing & Advertising,Operations,68190.98,Marketing & Advertising - HubSpot,VP,Paid
INV-82754,2024-11-27,Uber for Business,Travel & Expenses,Sales,5659.64,Travel & Expenses - Uber for Business,Director,Paid
INV-42493,2024-11-28,Workday HCM,HR & Recruitment,Sales,19297.6,HR & Recruitment - Workday HCM,Director,Paid
INV-75179,2024-11-28,Staples Business,Office Supplies,HR,1828.33,Office Supplies - Staples Business,Auto-approved,Paid
INV-36326,2024-11-29,WeWork,Facilities & Real Estate,Operations,97474.09,Facilities & Real Estate - WeWork,Auto-approved,Paid
INV-31940,2024-11-29,Salesforce,IT & Software,Finance,29684.35,IT & Software - Salesforce,Manager,Paid
INV-68947,2024-11-30,UPS Supply Chain,Logistics & Freight,Engineering,15076.64,Logistics & Freight - UPS Supply Chain,VP,Paid
INV-51934,2024-12-01,Salesforce,IT & Software,HR,63486.03,IT & Software - Salesforce,VP,Paid
INV-53583,2024-12-02,CBRE,Facilities & Real Estate,Marketing,63569.18,Facilities & Real Estate - CBRE,Director,Paid
INV-66302,2024-12-02,Google Ads,Marketing & Advertising,Sales,4999,Marketing & Advertising - Google Ads,Auto-approved,Paid
INV-36895,2024-12-02,WeWork,Facilities & Real Estate,Engineering,38874.93,Facilities & Real Estate - WeWork,Director,Pending
INV-48270,2024-12-03,Microsoft Corp,IT & Software,Legal,34040.32,IT & Software - Microsoft Corp,VP,Paid
INV-40512,2024-12-04,Zoom Video,IT & Software,Engineering,34956.84,IT & Software - Zoom Video,Manager,Pending
INV-65057,2024-12-04,Grainger,Raw Materials,Operations,28422.24,Raw Materials - Grainger,Auto-approved,Paid
INV-41186,2024-12-04,Google Ads,Marketing & Advertising,Engineering,69382.61,Marketing & Advertising - Google Ads,VP,Paid
INV-37125,2024-12-04,MSFT,IT & Software,Finance,94138.55,IT & Software - MSFT,Director,Paid
INV-27978,2024-12-04,Uber for Business,Travel & Expenses,Operations,1604.6,Travel & Expenses - Uber for Business,Auto-approved,Paid
INV-61248,2024-12-04,Indeed,HR & Recruitment,Operations,2510.14,HR & Recruitment - Indeed,VP,Paid
INV-69614,2024-12-05,Amazon Business,Office Supplies,Finance,4728.71,Office Supplies - Amazon Business,Manager,Paid
INV-96787,2024-12-05,MSFT,IT & Software,HR,22072.83,IT & Software - MSFT,Auto-approved,Paid
INV-70249,2024-12-05,3M Company,Raw Materials,Finance,36399.45,Raw Materials - 3M Company,VP,Paid
INV-87826,2024-12-05,Microsoft Corporation,IT & Software,HR,145006.33,IT & Software - Microsoft Corporation,VP,Paid
